lag,correlation,p_value
-48,-0.007470062564083599,0.9314756512992753
-47,-0.0020618341715296223,0.9809937982834248
-46,0.02936262924350825,0.7334008084388902
-45,0.03532148075161528,0.6808616451557449
-44,0.095017555098595,0.2658614089117126
-43,0.05442314144392788,0.5230548092375685
-42,0.053294785987994156,0.530230947433089
-41,0.047154770191782484,0.5773515099028225
-40,0.03829089292025434,0.6497998129911872
-39,0.021852499310821998,0.7948825997245802
-38,0.03437173940977546,0.6814908268688193
-37,0.03336770817992011,0.6892822190782701
-36,0.024708296353579344,0.7664206039857085
-35,0.009690866826371755,0.9069411974591067
-34,0.007373178758736984,0.9288877172386534
-33,0.03803159754337655,0.6440377771934035
-32,0.012227510361093,0.8815448418276026
-31,0.054627073108220056,0.5038607321865162
-30,0.02143292151034379,0.7925762558213465
-29,0.036755627945898574,0.6508640884898897
-28,0.06179145175231544,0.4449861478046077
-27,0.04467564522098112,0.5797242592317378
-26,0.04047958305079072,0.6147105091983659
-25,-0.010212406300637383,0.8986618135281346
-24,0.021153626765362546,0.7912697851375048
-23,0.031180604072443698,0.695494442928937
-22,0.04741143209590927,0.5503523761786838
-21,0.047317821822816505,0.5498873218814345
-20,0.01854977518068502,0.8141891003298655
-19,0.02621051486291026,0.7390223974841899
-18,0.08369741836588311,0.2851525510447618
-17,0.03708397559077935,0.6352528727681556
-16,0.03548534609181182,0.6489143847397735
-15,0.03979152768008423,0.6085744731397343
-14,0.06204289913596156,0.4229325164549848
-13,0.02666977948110695,0.7299235243390566
-12,-0.011442565495505054,0.881917937875398
-11,0.007448850562252691,0.9227424714078745
-10,-0.005752793927502591,0.9401206170035282
-9,-0.00883028901310951,0.9079361105115153
-8,0.01650139798802632,0.8284083621121929
-7,0.05586146494751557,0.4614990743646525
-6,0.07511079521608441,0.32041357192330816
-5,0.08558098749997245,0.2560261634202603
-4,0.07571837336564799,0.31374612996479895
-3,0.08830305731357317,0.23849359610657803
-2,0.08097342332465784,0.27853373938234843
-1,0.049838728362938754,0.504041638777276
0,-0.0013150227348593564,0.9859041797171337
1,-0.027515657195949856,0.7123373698419381
2,-0.014304441731050353,0.8484291768098711
3,-0.03214500555604401,0.6683768892407694
4,-0.026339459948539,0.7263463000084416
5,-0.02848593621032347,0.7058400658077729
6,-0.05029132643617869,0.5062022034230593
7,-0.007030285798761596,0.9262182938633203
8,0.0021279733333651463,0.9777030397657155
9,-0.03135329235891474,0.6812937329905967
10,-0.050954706796349364,0.5055526814281568
11,-0.03013825052306819,0.6947135943587747
12,-0.036600449781061306,0.6346003673137762
13,-0.03429371722711766,0.6570663980320766
14,-0.022397772555400305,0.772545936787507
15,-0.0026585384799702044,0.9727165611666755
16,-0.02126873656521762,0.7849922656302717
17,-0.010935981713572407,0.8887866001555114
18,0.003669700098666434,0.9626886096576805
19,-0.013963046384502858,0.8591508726061992
20,-0.005847533738801163,0.9409448223434778
21,-0.04048365809741429,0.6090061993380391
22,-0.03955005340728482,0.6184004021246559
23,-0.02201176848409175,0.7823332570822282
24,0.008394381199303299,0.9163632760223345
25,-0.012276314837735482,0.8783262213517063
26,-0.0382889307481326,0.6340032988970644
27,-0.013908748564209837,0.8631770003199689
28,-0.021888504399505668,0.7869016041162654
29,-0.006845709697179583,0.9328482316987758
30,-0.0010773930061843406,0.9894544036734335
31,0.02405242006785417,0.7686564303369533
32,0.007858864209356706,0.9237029878132265
33,0.03860010697497948,0.6390890208439729
34,0.017984085152827914,0.8276686683249446
35,-0.013897272060341498,0.8668647793576474
36,-0.0501077767219463,0.5466970032874146
37,-0.06392435324731452,0.4433514166309918
38,-0.0909594312980913,0.2765624309392757
39,-0.06632962786280107,0.4295926884812345
40,-0.07098773613233145,0.39950644422591297
41,-0.08248634824171823,0.32910674068662327
42,-0.0758500417541832,0.37135368207567954
43,-0.06692812234052897,0.4320515110292532
44,-0.04868212759079634,0.5692825224967422
45,-0.04922030658308458,0.5664443010542547
46,-0.007544902432153534,0.9302717790277691
47,-0.0015769152602544273,0.985463266956217
48,-0.005841291581359705,0.9463913353190779
